scientific_name,common_name,code
Catharus ustulatus,Swainson's Thrush,SWTH
Regulus satrapa,Golden-crowned Kinglet,GCKI
Strix varia,Barred Owl,BDOW
Sitta canadensis,Red-breasted Nuthatch,RBNU
Setophaga magnolia,Magnolia Warbler,MGNW
Empidonax hammondii,Hammond's Flycatcher,HAFL
Poecile hudsonicus,Boreal Chickadee,BOCH
Loxia leucoptera,White-winged Crossbill,WWCR
Troglodytes pacificus,Pacific Wren,PAWR
Tamiasciurus hudsonicus,Red Squirrel,NA
Gavia immer,Common Loon,COLO
Setophaga ruticilla,American Redstart,AMRE
Parkesia noveboracensis,Northern Waterthrush,NOWA
Vireo gilvus,Warbling Vireo,WAVI
Coccothraustes vespertinus,Evening Grosbeak,EVGR
Leiothlypis peregrina,Tennessee Warbler,TEWA
Corthylio calendula,Ruby-crowned Kinglet,RCKI
Bombycilla cedrorum,Cedar Waxwing,CEWA
Falco columbarius,Merlin,MERL
Corvus corax,Common Raven,CORA
Haliaeetus leucocephalus,Bald Eagle,BAEA
Zonotrichia albicollis,White-throated Sparrow,WTSP
Spinus pinus,Pine Siskin,PISI
Oporornis agilis,Connecticut Warbler,NA
Ixoreus naevius,Varied Thrush,VATH
Empidonax minimus,Least Flycatcher,LEFL
Contopus sordidulus,Western Wood-Pewee,WWPE
Geothlypis tolmiei,MacGillivray's Warbler,MACW
Piranga ludoviciana,Western Tanager,WETA
Atlapetes pallidinucha,Pale-naped Brushfinch,NA
Podiceps auritus,Horned Grebe,HOGR
Dryocopus pileatus,Pileated Woodpecker,PIWO
Megaceryle alcyon,Belted Kingfisher,BEKI
Contopus cooperi,Olive-sided Flycatcher,OSFL
Turdus migratorius,American Robin,AMRO
Buteo platypterus,Broad-winged Hawk,BWHA
Picoides arcticus,Black-backed Woodpecker,BBWO
Certhia americana,Brown Creeper,BRCR
Poecile gambeli,Mountain Chickadee,MOCH
Amblycorypha rotundifolia,Rattler Round-winged Katydid,NA
Tachycineta bicolor,Tree Swallow,TRSW
Cardellina canadensis,Canada Warbler,NA
Empidonax alnorum,Alder Flycatcher,ALFL
Empidonax difficilis,Pacific-slope Flycatcher,PSFL
Poecile atricapillus,Black-capped Chickadee,BCCH
Melospiza melodia,Song Sparrow,SOSP
Vireo cassinii,Cassin's Vireo,CAVI
Setophaga coronata,Yellow-rumped Warbler,YRWA
Selasphorus rufus,Rufous Hummingbird,RUHU
Passerella iliaca,Fox Sparrow,FOSP
Gallinago delicata,Wilson's Snipe,WISN
Vireo solitarius,Blue-headed Vireo,NA
Dryobates villosus,Hairy Woodpecker,HAWO
Accipiter gentilis,Northern Goshawk,NOGO
Tringa melanoleuca,Greater Yellowlegs,GRYE
Melospiza lincolnii,Lincoln's Sparrow,LISP
Zonotrichia leucophrys,White-crowned Sparrow,WCSP
Chroicocephalus philadelphia,Bonaparte's Gull,BOGU
Perisoreus canadensis,Canada Jay,NA
Antigone canadensis,Sandhill Crane,SACR
Catharus guttatus,Hermit Thrush,HETH
Empidonax flaviventris,Yellow-bellied Flycatcher,YBFL
Picoides dorsalis,American Three-toed Woodpecker,ATTW
Chordeiles minor,Common Nighthawk,CONI
Leiothlypis celata,Orange-crowned Warbler,OCWA
Junco hyemalis,Dark-eyed Junco,DEJU
Engine,Engine,NA
Bubo virginianus,Great Horned Owl,GHOW
Accipiter striatus,Sharp-shinned Hawk,SSHA
Pandion haliaetus,Osprey,OSPR
Mareca americana,American Wigeon,AMWI
Porzana carolina,Sora,SORA
Anthus rubescens,American Pipit,AMPI
Actitis macularius,Spotted Sandpiper,SPSA
Mergus merganser,Common Merganser,COME
Euphagus carolinus,Rusty Blackbird,RUBL
Corvus brachyrhynchos,American Crow,AMCR
Anas crecca,Green-winged Teal,GWTE
Aegolius acadicus,Northern Saw-whet Owl,NSWO
Haemorhous purpureus,Purple Finch,PUFI
Cardellina pusilla,Wilson's Warbler,WIWA
Tringa solitaria,Solitary Sandpiper,SOSA
Artemisiospiza belli,Bell's Sparrow,NA
Emberiza rustica,Rustic Bunting,NA
Setophaga striata,Blackpoll Warbler,BKPW
Podiceps grisegena,Red-necked Grebe,RNGR
Setophaga townsendi,Townsend's Warbler,TOWA
Conocephalus brevipennis,Short-winged Meadow Katydid,NA
Branta canadensis,Canada Goose,CAGO
Strix nebulosa,Great Gray Owl,GGOW
Cygnus buccinator,Trumpeter Swan,TRUS
Aythya collaris,Ring-necked Duck,RNDU
Lithobates sylvaticus,Wood Frog,NA
Sphyrapicus varius,Yellow-bellied Sapsucker,YBSA
Empidonax oberholseri,Dusky Flycatcher,DUFL
Pseudacris crucifer,Spring Peeper,NA
Conocephalus fasciatus,Slender Meadow Katydid,NA
Pinicola enucleator,Pine Grosbeak,PIGR
Glaucidium gnoma,Northern Pygmy-Owl,NPOW
Aegolius funereus,Boreal Owl,BOOW
Setophaga petechia,Yellow Warbler,YEWA
Pheucticus ludovicianus,Rose-breasted Grosbeak,RBGR
Spizella pallida,Clay-colored Sparrow,CCSP
Colaptes auratus,Northern Flicker,NOFL
Bombycilla garrulus,Bohemian Waxwing,BOWA
Asio otus,Long-eared Owl,LEOW
Melospiza georgiana,Swamp Sparrow,SWSP
Botaurus lentiginosus,American Bittern,AMBI
Dryobates pubescens,Downy Woodpecker,DOWO
Seiurus aurocapilla,Ovenbird,OVEN
Sphyrapicus nuchalis,Red-naped Sapsucker,RNSA
Bonasa umbellus,Ruffed Grouse,RUGR
Geothlypis trichas,Common Yellowthroat,COYE
Falco sparverius,American Kestrel,AMKE
Spizella passerina,Chipping Sparrow,CHSP
Canachites canadensis,Spruce Grouse,SPGR
Myadestes townsendi,Townsend's Solitaire,TOSO
Loxia curvirostra,Red Crossbill,RECR
Tyrannus tyrannus,Eastern Kingbird,EAKI
Agelaius phoeniceus,Red-winged Blackbird,RWBL
Tachycineta thalassina,Violet-green Swallow,VGSW
Anas platyrhynchos,Mallard,MALL
Molothrus ater,Brown-headed Cowbird,BHCO
Sialia currucoides,Mountain Bluebird,MOBL
Haemorhous mexicanus,House Finch,HOFI
Vireo olivaceus,Red-eyed Vireo,REVI
Buteo jamaicensis,Red-tailed Hawk,RTHA
Bucephala clangula,Common Goldeneye,COGO
Bucephala islandica,Barrow's Goldeneye,BAGO
Lagopus lagopus,Willow Ptarmigan,WIPT
Lophodytes cucullatus,Hooded Merganser,HOME
Leucosticte tephrocotis,Gray-crowned Rosy-Finch,GCRF
Cinclus mexicanus,American Dipper,AMDI
Pooecetes gramineus,Vesper Sparrow,VESP
Zonotrichia atricapilla,Golden-crowned Sparrow,GCSP
Spatula discors,Blue-winged Teal,BWTE
